review_data,percent_review,total_review,data_types
Very Positive,99,226,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,87,8036088,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,67,27463,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,30686,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,81,2231003,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,64,586766,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,58,2352802,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,78,821778,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,56,57222,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Positive,98,231506,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,93,262972,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,80,592378,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,65,55180,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,83,233444,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,92,600637,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,66,47074,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,93,3191,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Negative,32,8902,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,90,280131,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,85,1085272,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,46,200016,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
No Data,0,0,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Negative,32,33758,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,80,521398,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,83,120154,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,77,3531,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,87,1632366,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,33219,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,121776,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,87,868982,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,94,140263,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,41566,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,78,21108,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,89,22328,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,87,48515,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Positive,95,306147,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,739,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,657,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,93,256527,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,7597,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,76,54406,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Positive,97,316304,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,86,43760,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
No Data,0,0,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,33831,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,87,93317,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,546,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Positive,96,163347,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,161221,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,69825,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,86,171012,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,70,178441,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Positive,95,191397,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,58,46581,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
No Data,0,0,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,136001,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,85,2894,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,89,14079,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,93,1043212,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,82,31403,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,523027,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,79,71785,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,82,155971,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,91,7609,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,85,41067,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Positive,97,225416,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,84,90450,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,86,3644,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Positive,96,548163,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,89,60209,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,78,2381,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,86,23897,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,92,94296,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,86,125965,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,62,25566,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
No Data,0,0,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,77,138602,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Overwhelmingly Negative,18,262546,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,84,78559,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,61,2563,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,93,44466,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,61,20212,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,89,29540,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,220275,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,72,4161,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,79,139329,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,88,8944,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,94,159429,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,87,123259,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,57,36570,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,61,20852,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mostly Positive,75,160664,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Very Positive,87,38639,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
Mixed,66,10869,"{'review_data': 'str', 'percent_review': 'int', 'total_review': 'int'}"
